trial,eccentricity_pct,noise_level,offset_deg,abs_offset_deg,side,true_choice,model_choice,model_raw_text,correct,api_error
0,25.0,low_mid,4.0,4.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
1,50.0,very_high,-4.0,4.0,1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
2,0.0,low,-8.0,8.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be counterclockwise relative to vertical.

CCW",1,
3,25.0,mid_high,5.0,5.0,1,CW,CCW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly counterclockwise relative to vertical.

CCW",0,
4,50.0,very_high,2.0,2.0,-1,CW,CCW,CCW,0,
5,0.0,low,-5.0,5.0,-1,CCW,CCW,CCW,1,
6,25.0,low_mid,8.0,8.0,1,CW,CCW,CCW,0,
7,25.0,mid_high,7.0,7.0,-1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical. Therefore, the response is:

CCW",0,
8,50.0,low,-3.0,3.0,1,CCW,CW,"Based on the image provided, the Gabor patch appears to be tilted slightly clockwise (CW) relative to vertical. Therefore, the response is:

CW",0,
9,0.0,mid_high,4.0,4.0,1,CW,CW,"Given the orientation of the Gabor patch in the image, the tilt appears to be slightly clockwise relative to vertical.

CW",1,
10,50.0,low_mid,5.0,5.0,1,CW,CCW,CCW,0,
11,0.0,very_high,-4.0,4.0,1,CCW,CCW,"Based on the provided image, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
12,50.0,mid_high,-5.0,5.0,1,CCW,CCW,"Given the orientation of the Gabor patch in the image, it appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
13,25.0,very_high,6.0,6.0,1,CW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",0,
14,25.0,low_mid,2.0,2.0,-1,CW,CCW,CCW,0,
15,0.0,low,-2.0,2.0,-1,CCW,CCW,"Based on the image provided, the Gabor patch appears to be tilted slightly counterclockwise relative to vertical.

CCW",1,
